MQ135_AirQuality,MQ7_CO_ppm,PM25_ugm3,Sound_dB,Scenario,Alert_Level,DateTime
0.24,4.57,810.8,94.8,BOTH_POLLUTED,3,2026-01-04 15:58:51
0.42,27.83,10.2,81.0,BOTH_POLLUTED,3,2026-01-04 15:58:52
0.06,1.0,694.5,93.7,BOTH_POLLUTED,3,2026-01-04 15:58:53
3.05,4.32,1.7,80.8,BOTH_POLLUTED,3,2026-01-04 15:58:54
2.98,4.37,24.5,94.6,BOTH_POLLUTED,3,2026-01-04 15:58:55
0.01,16.32,22.0,75.2,BOTH_POLLUTED,3,2026-01-04 15:58:56
4.72,3.03,19.1,92.6,BOTH_POLLUTED,3,2026-01-04 15:58:57
0.02,2.85,243.0,88.0,BOTH_POLLUTED,3,2026-01-04 15:58:58
0.45,2.97,207.6,85.9,BOTH_POLLUTED,3,2026-01-04 15:58:59
0.21,1.17,456.3,80.2,BOTH_POLLUTED,3,2026-01-04 15:59:00
3.26,4.63,0.6,89.4,BOTH_POLLUTED,3,2026-01-04 15:59:01
0.15,20.04,27.5,79.8,BOTH_POLLUTED,3,2026-01-04 15:59:02
2.82,3.94,28.6,76.5,BOTH_POLLUTED,3,2026-01-04 15:59:03
4.7,1.19,2.9,80.9,BOTH_POLLUTED,3,2026-01-04 15:59:04
0.49,1.93,455.1,78.1,BOTH_POLLUTED,3,2026-01-04 15:59:05
0.36,3.36,769.7,84.4,BOTH_POLLUTED,3,2026-01-04 15:59:06
0.43,34.91,18.9,76.1,BOTH_POLLUTED,3,2026-01-04 15:59:07
3.88,0.63,8.0,87.4,BOTH_POLLUTED,3,2026-01-04 15:59:08
4.57,2.9,22.3,85.6,BOTH_POLLUTED,3,2026-01-04 15:59:09
4.59,0.71,10.2,79.3,BOTH_POLLUTED,3,2026-01-04 15:59:10
0.22,43.94,26.5,85.8,BOTH_POLLUTED,3,2026-01-04 15:59:11
2.09,4.79,15.3,87.0,BOTH_POLLUTED,3,2026-01-04 15:59:12
0.04,47.03,20.7,75.2,BOTH_POLLUTED,3,2026-01-04 15:59:13
0.2,48.95,14.2,78.2,BOTH_POLLUTED,3,2026-01-04 15:59:14
2.81,2.32,27.5,78.3,BOTH_POLLUTED,3,2026-01-04 15:59:15
0.22,2.6,325.6,77.7,BOTH_POLLUTED,3,2026-01-04 15:59:16
4.7,3.98,14.2,94.0,BOTH_POLLUTED,3,2026-01-04 15:59:17
0.22,2.69,316.8,87.1,BOTH_POLLUTED,3,2026-01-04 15:59:18
0.39,0.65,616.6,82.2,BOTH_POLLUTED,3,2026-01-04 15:59:19
0.11,4.77,440.1,80.0,BOTH_POLLUTED,3,2026-01-04 15:59:20
0.16,53.51,28.3,85.7,BOTH_POLLUTED,3,2026-01-04 15:59:21
2.91,2.69,24.4,90.0,BOTH_POLLUTED,3,2026-01-04 15:59:22
0.48,27.63,18.6,92.8,BOTH_POLLUTED,3,2026-01-04 15:59:23
